,Dropbacks,Fantasy Points,Completions,ATTs,Passing Yards,Passing TDs,INTs,Sacks,Sack Yards,Carries,Rush Yards,Rush TDs,CPOE,Avg. Air Yards
Lamar Jackson,30.62,24.72,19.54,29.15,253.08,2.23,0.23,1.46,9.77,8.54,52.15,0.23,0.93,21.69
Joe Burrow,39.67,21.62,25.17,37.17,278.08,2.5,0.42,2.5,13.75,2.75,13.33,0.08,3,20.03
Jalen Hurts,27.92,21.52,17.33,25.33,207.83,1.17,0.42,2.58,18.83,10.33,40.42,1,6.95,22.04
Jayden Daniels,32.42,21.38,20.83,30,234.42,1.25,0.5,2.42,12.42,8.75,45,0.5,2.32,21.29
Josh Allen,30.75,20.42,19.17,29.67,224.25,1.67,0.42,1.08,5.08,5.83,27.83,0.5,0.72,20.85
Baker Mayfield,36.25,20.02,24,33.92,252.83,2.08,0.92,2.33,14.5,3.58,19.08,0.25,0.18,19.82
Jameis Winston,40.83,19.23,23.33,38.17,291.17,1.83,1.17,2.67,12.83,2.33,9.17,0.17,-1.22,22.22
Justin Fields,29.33,18.89,17.67,26.67,184.33,0.83,0.17,2.67,20.67,9.17,38.5,0.83,1.59,21.29
Tua Tagovailoa,37,17.71,25.88,34.75,265.62,1.88,0.5,2.25,16.25,1.75,5.88,0,1.28,18.52
Bo Nix,34.85,17.48,21.31,33.38,218.62,1.31,0.62,1.46,12.15,5.15,23.38,0.31,-3.77,21.77
Jordan Love,31.8,17.35,19.4,30.8,251.8,2,1.1,1,7.5,1.8,4.8,0.1,-1.21,23.37
Russell Wilson,34.17,17.29,20.5,31.17,271,1.67,0.5,3,16,3.33,4.5,0.17,4.23,21.7
Sam Darnold,32.83,17.23,20.17,29.83,246,1.92,0.83,3,19.33,4.33,15.58,0.08,5.83,22.32
Brock Purdy,31.45,17.22,19.36,29.45,246.09,1.18,0.73,2,9.64,4.82,24.64,0.36,1.86,21.14
Kyler Murray,31.58,17.08,20.5,29.83,216.92,1.08,0.5,1.75,11,4.58,35.67,0.33,3.08,20.6
Patrick Mahomes,38.25,16.95,24.33,35.58,248.25,1.58,0.92,2.67,18.5,3.83,19.25,0.08,-1.11,18.64
Jared Goff,30.17,16.75,20.33,28.33,248.5,1.83,0.75,1.83,14.33,2.08,3.33,0,6.77,19.72
Geno Smith,39.67,16.02,25,36.33,270.08,1.08,1,3.33,22.67,3.75,18.83,0.17,2.45,20.81
Caleb Williams,38.33,15.86,21.08,34.25,217.67,1.17,0.42,4.08,27.58,4.92,31.5,0,-2.06,21.54
Malik Willis,14,15.63,9.67,12.67,126.67,1,0,1.33,4,5.33,45.67,0.33,-2.24,21.67
Derek Carr,28.33,15.44,18.78,27.56,214,1.56,0.44,0.78,4.33,1.67,6.56,0.11,4.68,21.86
Justin Herbert,30.67,15.27,17.75,28,212.58,1.08,0.08,2.67,14.08,4.17,17.67,0.17,1.76,21.62
Drake Maye,31.22,14.7,19.11,28.44,188.44,1.22,0.89,2.78,19.44,4.22,38.33,0.11,2.16,20.29
Trevor Lawrence,30.2,14.57,17.2,28.4,204.5,1.1,0.7,1.8,14,2.6,11.9,0.3,-3.59,22.71
Dak Prescott,38.38,14.56,23.12,35.75,247.25,1.38,1,2.62,14,1.62,6.75,0.12,1.49,20.09
Anthony Richardson,25.11,14.3,11.33,23.89,167.89,0.78,1,1.22,10.67,7.78,42.56,0.44,-10.41,25.72
Aaron Rodgers,37.25,14.22,21.83,34.92,218.92,1.58,0.67,2.33,17.92,1.25,4.67,0,-4.12,20.09
Matthew Stafford,36.42,14.2,22.5,34.08,248.58,1.42,0.58,2.33,17.75,1.42,0.92,0,-0.88,22.03
C.J. Stroud,36.23,13.89,20.92,33.08,239.77,1.15,0.69,3.15,25.15,3.31,15.31,0,-0.31,21.33
Joe Flacco,36.6,13.84,22.6,34,233.4,1.8,1,2.6,20.2,1.6,5,0,0.14,21.67
Daniel Jones,37,13.53,21.6,34.1,207,0.8,0.7,2.9,17.2,6.7,26.5,0.2,-0.46,20.59
Kirk Cousins,35.25,13.34,22.42,33.25,254.33,1.42,1.08,2,14.67,1.67,0,0,3.68,21.23
Mason Rudolph,33.5,12.58,19,32,201.5,1,1,1.5,9.5,3.25,15.25,0.25,-1.23,20.37
Andy Dalton,33.2,11.79,21.2,31.8,197.8,1.4,1.2,1.4,7.4,2.2,6.8,0,-1.43,21.18
Will Levis,30.78,11.73,17.11,26.67,184.33,1.33,1,4.11,21.78,4.22,19.11,0,-0.21,22.57
Bryce Young,30.75,11.28,17.12,29,173.12,0.75,0.75,1.75,11,2.62,13.5,0.25,-0.6,21.95
Deshaun Watson,35.57,10.96,19.57,30.86,164,0.71,0.43,4.71,27.29,4.43,21.14,0.14,-0.66,19.53
