Position,Player,Week,Points
QB,L_Jackson,Week_1,25.12
WR,J_Chase,Week_1,9.2
WR,J_Jefferson,Week_1,13.9
RB,S_Barkley,Week_1,32.2
RB,J_Gibbs,Week_1,15.4
TE,B_Bowers,Week_1,8.8
FLX,D_Henry,Week_1,10.6
K,B_Aubrey,Week_1,22.3
DEF,Denver,Week_1,10
QB,L_Jackson,Week_2,16.38
WR,J_Chase,Week_2,5.5
WR,J_Jefferson,Week_2,21.3
RB,S_Barkley,Week_2,15.6
RB,J_Gibbs,Week_2,14.1
TE,B_Bowers,Week_2,14.3
Fx,D_Henry,Week_2,16.1
K,B_Aubrey,Week_2,18.8
DEF,Denver,Week_2,6
QB,L_Jackson,Week_3,25.98
WR,J_Chase,Week_3,26.8
WR,J_Jefferson,Week_3,17.1
RB,S_Barkley,Week_3,31.6
RB,J_Gibbs,Week_3,16.3
TE,B_Bowers,Week_3,5.6
Fx,D_Henry,Week_3,29.9
K,B_Aubrey,Week_3,12.6
DEF,Denver,Week_3,15
QB,L_Jackson,Week_4,23.64
WR,J_Chase,Week_4,16
WR,J_Jefferson,Week_4,17.5
RB,S_Barkley,Week_4,12.6
RB,J_Gibbs,Week_4,19.8
TE,B_Bowers,Week_4,4.1
Fx,D_Henry,Week_4,34.4
K,B_Aubrey,Week_4,12
DEF,Denver,Week_4,11
QB,L_Jackson,Week_5,33.42
WR,J_Chase,Week_5,36.3
WR,J_Jefferson,Week_5,12.2
RB,S_Barkley,Week_5,-
RB,J_Gibbs,Week_5,-
TE,B_Bowers,Week_5,19.7
Fx,D_Henry,Week_5,16.1
K,B_Aubrey,Week_5,10.8
DEF,Denver,Week_5,16
QB,L_Jackson,Week_6,18.92
WR,J_Chase,Week_6,9.7
WR,J_Jefferson,Week_6,-
RB,S_Barkley,Week_6,6.4
RB,J_Gibbs,Week_6,10.6
TE,B_Bowers,Week_6,11.6
Fx,D_Henry,Week_6,25.2
K,B_Aubrey,Week_6,13.1
DEF,Denver,Week_6,3
QB,L_Jackson,Week_7,34.44
WR,J_Chase,Week_7,15.1
WR,J_Jefferson,Week_7,17.9
RB,S_Barkley,Week_7,25.7
RB,J_Gibbs,Week_7,30
TE,B_Bowers,Week_7,14.3
Fx,D_Henry,Week_7,24.7
K,B_Aubrey,Week_7,-
DEF,Denver,Week_7,20
QB,L_Jackson,Week_8,24.16
WR,J_Chase,Week_8,15.9
WR,J_Jefferson,Week_8,15.5
RB,S_Barkley,Week_8,11.6
RB,J_Gibbs,Week_8,19.8
TE,B_Bowers,Week_8,8.3
Fx,D_Henry,Week_8,14.2
K,B_Aubrey,Week_8,5.9
DEF,Denver,Week_8,7
QB,L_Jackson,Week_9,23.6
WR,J_Chase,Week_9,7.8
WR,J_Jefferson,Week_9,18.08
RB,S_Barkley,Week_9,31.4
RB,J_Gibbs,Week_9,14.1
TE,B_Bowers,Week_9,13
Fx,D_Henry,Week_9,25.8
K,B_Aubrey,Week_9,10.1
DEF,Denver,Week_9,-3
QB,L_Jackson,Week_10,32.9
WR,J_Chase,Week_10,49.9
WR,J_Jefferson,Week_10,7.3
RB,S_Barkley,Week_10,8.3
RB,J_Gibbs,Week_10,11.8
RB,D_Henry,Week_10,-
Fx,D_Henry,Week_10,13.6
K,B_Aubrey,Week_10,6.9
DEF,Denver,Week_10,5
QB,L_Jackson,Week_11,14.88
WR,J_Chase,Week_11,23
WR,J_Jefferson,Week_11,11.1
RB,S_Barkley,Week_11,32.8
RB,J_Gibbs,Week_11,18.8
TE,B_Bowers,Week_11,24.8
Fx,D_Henry,Week_11,10.5
K,B_Aubrey,Week_11,6.3
DEF,Denver,Week_11,13
QB,L_Jackson,Week_12,22.58
WR,J_Chase,Week_12,-
WR,J_Jefferson,Week_12,3.7
RB,S_Barkley,Week_12,44.2
RB,J_Gibbs,Week_12,23.4
TE,B_Bowers,Week_12,5.8
Fx,D_Henry,Week_12,14
K,B_Aubrey,Week_12,13.4
DEF,Denver,Week_12,10
QB,L_Jackson,Week_13,25.38
WR,J_Chase,Week_13,17.6
WR,J_Jefferson,Week_13,13.4
RB,S_Barkley,Week_13,18.7
RB,J_Gibbs,Week_13,9.4
TE,B_Bowers,Week_13,25.2
Fx,D_Henry,Week_13,12.6
K,B_Aubrey,Week_13,8.6
DEF,Denver,Week_13,20
QB,L_Jackson,Week_14,0
WR,J_Chase,Week_14,38.1
WR,J_Jefferson,Week_14,28.7
RB,S_Barkley,Week_14,14.4
RB,J_Gibbs,Week_14,16.3
TE,B_Bowers,Week_14,6.7
Fx,D_Henry,Week_14,-
K,B_Aubrey,Week_14,10.2
DEF,Denver,Week_14,0
QB,L_Jackson,Week_15,36.1
WR,J_Chase,Week_15,13.9
WR,J_Jefferson,Week_15,16.8
RB,S_Barkley,Week_15,8.4
RB,J_Gibbs,Week_15,25.9
TE,B_Bowers,Week_15,5
Fx,D_Henry,Week_15,6.7
K,B_Aubrey,Week_15,16.8
DEF,Denver,Week_15,20
QB,L_Jackson,Week_16,20.48
WR,J_Chase,Week_16,19.4
WR,J_Jefferson,Week_16,31.4
RB,S_Barkley,Week_16,27
RB,J_Gibbs,Week_16,23.4
TE,B_Bowers,Week_16,15.4
Fx,D_Henry,Week_16,19.9
K,B_Aubrey,Week_16,23.8
DEF,Denver,Week_16,3
QB,L_Jackson,Week_17,29.42
WR,J_Chase,Week_17,14.7
WR,J_Jefferson,Week_17,13.2
RB,S_Barkley,Week_17,17.9
RB,J_Gibbs,Week_17,24.3
TE,B_Bowers,Week_17,11.1
Fx,D_Henry,Week_17,23.5
K,B_Aubrey,Week_17,1
DEF,Denver,Week_17,8
