Position,Player,Week,Points
QB,L Jackson,Week1,25.12
WR,J Chase,Week1,9.2
WR,J Jefferson,Week1,13.9
RB,S Barkley,Week1,32.2
RB,J Gibbs,Week1,15.4
TE,B Bowers,Week1,8.8
FLX,D Henry,Week1,10.6
K,B Aubrey,Week1,22.3
DEF,Denver,Week1,10
QB,L Jackson,Week2,16.38
WR,J Chase,Week2,5.5
WR,J Jefferson,Week2,21.3
RB,S Barkley,Week2,15.6
RB,J Gibbs,Week2,14.1
TE,B Bowers,Week2,14.3
Fx,D Henry,Week2,16.1
K,B Aubrey,Week2,18.8
DEF,Denver,Week2,6
QB,L Jackson,Week3,25.98
WR,J Chase,Week3,26.8
WR,J Jefferson,Week3,17.1
RB,S Barkley,Week3,31.6
RB,J Gibbs,Week3,16.3
TE,B Bowers,Week3,5.6
Fx,D Henry,Week3,29.9
K,B Aubrey,Week3,12.6
DEF,Denver,Week3,15
QB,L Jackson,Week4,23.64
WR,J Chase,Week4,16
WR,J Jefferson,Week4,17.5
RB,S Barkley,Week4,12.6
RB,J Gibbs,Week4,19.8
TE,B Bowers,Week4,4.1
Fx,D Henry,Week4,34.4
K,B Aubrey,Week4,12
DEF,Denver,Week4,11
QB,L Jackson,Week5,33.42
WR,J Chase,Week5,36.3
WR,J Jefferson,Week5,12.2
RB,S Barkley,Week5,0
RB,J Gibbs,Week5,0
TE,B Bowers,Week5,19.7
Fx,D Henry,Week5,16.1
K,B Aubrey,Week5,10.8
DEF,Denver,Week5,16
QB,L Jackson,Week6,18.92
WR,J Chase,Week6,9.7
WR,J Jefferson,Week6,0
RB,S Barkley,Week6,6.4
RB,J Gibbs,Week6,10.6
TE,B Bowers,Week6,11.6
Fx,D Henry,Week6,25.2
K,B Aubrey,Week6,13.1
DEF,Denver,Week6,3
QB,L Jackson,Week7,34.44
WR,J Chase,Week7,15.1
WR,J Jefferson,Week7,17.9
RB,S Barkley,Week7,25.7
RB,J Gibbs,Week7,30
TE,B Bowers,Week7,14.3
Fx,D Henry,Week7,24.7
K,B Aubrey,Week7,0
DEF,Denver,Week7,20
QB,L Jackson,Week8,24.16
WR,J Chase,Week8,15.9
WR,J Jefferson,Week8,15.5
RB,S Barkley,Week8,11.6
RB,J Gibbs,Week8,19.8
TE,B Bowers,Week8,8.3
Fx,D Henry,Week8,14.2
K,B Aubrey,Week8,5.9
DEF,Denver,Week8,7
QB,L Jackson,Week9,23.6
WR,J Chase,Week9,7.8
WR,J Jefferson,Week9,18.08
RB,S Barkley,Week9,31.4
RB,J Gibbs,Week9,14.1
TE,B Bowers,Week9,13
Fx,D Henry,Week9,25.8
K,B Aubrey,Week9,10.1
DEF,Denver,Week9,-3
QB,L Jackson,Week10,32.9
WR,J Chase,Week10,49.9
WR,J Jefferson,Week10,7.3
RB,S Barkley,Week10,8.3
RB,J Gibbs,Week10,11.8
RB,B Bowers,Week10,0
Fx,D Henry,Week10,13.6
K,B Aubrey,Week10,6.9
DEF,Denver,Week10,5
QB,L Jackson,Week11,14.88
WR,J Chase,Week11,23
WR,J Jefferson,Week11,11.1
RB,S Barkley,Week11,32.8
RB,J Gibbs,Week11,18.8
TE,B Bowers,Week11,24.8
Fx,D Henry,Week11,10.5
K,B Aubrey,Week11,6.3
DEF,Denver,Week11,13
QB,L Jackson,Week12,22.58
WR,J Chase,Week12,0
WR,J Jefferson,Week12,3.7
RB,S Barkley,Week12,44.2
RB,J Gibbs,Week12,23.4
TE,B Bowers,Week12,5.8
Fx,D Henry,Week12,14
K,B Aubrey,Week12,13.4
DEF,Denver,Week12,10
QB,L Jackson,Week13,25.38
WR,J Chase,Week13,17.6
WR,J Jefferson,Week13,13.4
RB,S Barkley,Week13,18.7
RB,J Gibbs,Week13,9.4
TE,B Bowers,Week13,25.2
Fx,D Henry,Week13,12.6
K,B Aubrey,Week13,8.6
DEF,Denver,Week13,20
QB,L Jackson,Week14,0
WR,J Chase,Week14,38.1
WR,J Jefferson,Week14,28.7
RB,S Barkley,Week14,14.4
RB,J Gibbs,Week14,16.3
TE,B Bowers,Week14,6.7
Fx,D Henry,Week14,0
K,B Aubrey,Week14,10.2
DEF,Denver,Week14,0
QB,L Jackson,Week15,36.1
WR,J Chase,Week15,13.9
WR,J Jefferson,Week15,16.8
RB,S Barkley,Week15,8.4
RB,J Gibbs,Week15,25.9
TE,B Bowers,Week15,5
Fx,D Henry,Week15,6.7
K,B Aubrey,Week15,16.8
DEF,Denver,Week15,20
QB,L Jackson,Week16,20.48
WR,J Chase,Week16,19.4
WR,J Jefferson,Week16,31.4
RB,S Barkley,Week16,27
RB,J Gibbs,Week16,23.4
TE,B Bowers,Week16,15.4
Fx,D Henry,Week16,19.9
K,B Aubrey,Week16,23.8
DEF,Denver,Week16,3
QB,L Jackson,Week17,29.42
WR,J Chase,Week17,14.7
WR,J Jefferson,Week17,13.2
RB,S Barkley,Week17,17.9
RB,J Gibbs,Week17,24.3
TE,B Bowers,Week17,11.1
Fx,D Henry,Week17,23.5
K,B Aubrey,Week17,1
DEF,Denver,Week17,8
