Character,Survival,Earthling, Sex
Captain America,Survived,Native,Male
Iron Man,Survived,Native,Male
Hawkeye,Survived,Native,Male
Hulk,Survived,Native,Male
War Machine,Survived,Native,Male
Antman,Survived,Native,Male
Black Widow,Survived,Native,Female
Okoye,Survived,Native,Female
Captain Marval,Survived,Native,Female
Thor,Survived,Alien,Male
Rocket,Survived,Alien,Male
Nebula,Survived,Alien,Female
Valkyrie,Survived,Alien,Female
Dr Strange,Perished,Native,Male
Spiderman,Perished,Native,Male
Black Panther,Perished,Native,Male
Falcon,Perished,Native,Male
Winter Soilder,Perished,Native,Male
Vision,Perished,Native,Male
Nick Fury,Perished,Native,Male
Star Lord,Perished,Native,Male
Shuri,Perished,Native,Female
Scarlet Witch,Perished,Native,Female
Wasp,Perished,Native,Female
Loki,Perished,Alien,Male
Groot,Perished,Alien,Male
Drax,Perished,Alien,Male
Garmora,Perished,Alien,Female
Mantis,Perished,Alien,Female
