School,Adjustment,Salary
Amherst,Real,115573
Bates,Real,101539
Bowdoin,Real,114601
Carleton,Real,117620
Claremont McKenna,Real,138183
Colby,Real,111341
Colgate,Real,109417
Davidson,Real,102411
Furman,Real,87947
Grinnell,Real,109613
Hamilton,Real,107611
Haverford,Real,100983
Macalester,Real,98937
Middlebury,Real,112177
Oberlin,Real,97483
Pomona,Real,126433
Swarthmore,Real,123619
Vassar,Real,111749
Washington and Lee,Real,118672
Wesleyan,Real,111714
Williams,Real,122391
Amherst,COLA,125628
Bates,COLA,115652
Bowdoin,COLA,107266
Carleton,COLA,114797
Claremont McKenna,COLA,47397
Colby,COLA,135057
Colgate,COLA,126268
Davidson,COLA,85206
Furman,COLA,97885
Grinnell,COLA,132413
Hamilton,COLA,133976
Haverford,COLA,29891
Macalester,COLA,100322
Middlebury,COLA,115318
Oberlin,COLA,119806
Pomona,COLA,43367
Swarthmore,COLA,108290
Vassar,COLA,108956
Washington and Lee,COLA,135642
Wesleyan,COLA,108809
Williams,COLA,121289
